date,sender_id,message
2024-12-07 02:48:50+00:00,,"🎇GOOD MORNING  TRADERS 🎇

🎇👍 ENJOY YOUR  WEEKEND 👍🎇"
2024-12-06 17:30:09+00:00,,"PAYMENT IS BEING SENT TO ALL ONE BY ONE 

⭐️🚀 TODAY  PAYMENT🚀 ⭐️

PAYMENT ARE TODAY SLOT IS SUCCESSFUL 

STILL IF SOMEONE HAS NOT RECEIVED THE PAYMENT THEN HE CAN MESSAGE ON 

@DANNY_SIR_OFFICIALL✅️"
2024-12-05 06:40:37+00:00,,🔥🔥95
2024-12-05 06:40:37+00:00,,🔥🔥94
2024-12-05 06:40:37+00:00,,🔥🔥92
2024-12-05 06:40:37+00:00,,🔥🔥90
2024-12-05 06:40:36+00:00,,🔥🔥88
2024-12-05 06:39:42+00:00,,🔥🔥86
2024-12-05 06:39:42+00:00,,🔥🔥84
2024-12-05 06:39:42+00:00,,🔥🔥82
2024-12-05 06:39:41+00:00,,🔥🔥80
2024-12-05 06:39:41+00:00,,🔥🔥78
2024-12-05 06:39:41+00:00,,🔥🔥76
2024-12-05 06:39:41+00:00,,🔥🔥74
2024-12-05 06:38:42+00:00,,🔥🔥72
2024-12-05 06:38:42+00:00,,ALL TARGET DONE ✅
2024-12-05 06:38:42+00:00,,🔥🔥70
2024-12-05 06:38:42+00:00,,🔥🔥68
2024-12-05 06:38:42+00:00,,🔥🔥66
2024-12-05 06:38:42+00:00,,🔥🔥64
2024-12-05 06:38:42+00:00,,🔥🔥62
2024-12-05 06:37:42+00:00,,SECOND TARGET DONE ✅
2024-12-05 06:37:42+00:00,,🔥🔥60
2024-12-05 06:37:42+00:00,,🔥🔥58
2024-12-05 06:37:42+00:00,,🔥🔥56
2024-12-05 06:37:41+00:00,,🔥🔥54
2024-12-05 06:37:01+00:00,,🔥🔥52
2024-12-05 06:37:01+00:00,,🔥🔥50
2024-12-05 06:37:01+00:00,,🔥🔥49
2024-12-05 06:37:01+00:00,,🔥🔥48
2024-12-05 06:37:01+00:00,,🔥🔥47
2024-12-05 06:37:01+00:00,,🔥🔥46
2024-12-05 06:37:00+00:00,,FIRST TARGET DONE ✅
2024-12-05 06:37:00+00:00,,🔥🔥45
2024-12-05 06:37:00+00:00,,🔥🔥44
2024-12-05 06:37:00+00:00,,🔥🔥43
2024-12-05 06:37:00+00:00,,🔥🔥42
2024-12-05 06:37:00+00:00,,🔥🔥41
2024-12-05 06:37:00+00:00,,🔥🔥40
2024-12-05 06:37:00+00:00,,🔥🔥39
2024-12-05 06:37:00+00:00,,🔥🔥38
2024-12-05 06:37:00+00:00,,🔥🔥37
2024-12-05 06:37:00+00:00,,🔥🔥36
2024-12-05 06:37:00+00:00,,🔥🔥35
2024-12-05 06:25:32+00:00,,"#HERO_ZERO 

NIFTY 24650 CE BY ABOVE 35

SL:-10

TARGET:- 45/60/70++

Only RISHKEY TRADERS get entry"
2024-12-05 05:24:58+00:00,,FIRST TARGET DONE ✅
2024-12-05 05:24:30+00:00,,🔥🔥970
2024-12-05 05:24:30+00:00,,🔥🔥969
2024-12-05 05:24:30+00:00,,🔥🔥968
2024-12-05 05:24:30+00:00,,🔥🔥967
2024-12-05 05:24:30+00:00,,🔥🔥966
2024-12-05 05:24:29+00:00,,🔥🔥965
2024-12-05 05:23:26+00:00,,🔥🔥964
2024-12-05 05:23:26+00:00,,🔥🔥963
2024-12-05 05:23:26+00:00,,🔥🔥962
2024-12-05 05:23:26+00:00,,🔥🔥961
2024-12-05 05:23:26+00:00,,🔥🔥960
2024-12-05 05:23:26+00:00,,🔥🔥959
2024-12-05 05:23:26+00:00,,🔥🔥958
2024-12-05 05:18:13+00:00,,"Paytm 

Near 958

TGT 970/1000/1020

Sl 935"
2024-12-05 04:37:32+00:00,,Morning me hi market sideways ho gya h
2024-12-05 03:57:41+00:00,,Safe traders focus on scalping
2024-12-05 03:57:41+00:00,,🔥🔥424
2024-12-05 03:57:41+00:00,,🔥🔥422
2024-12-05 03:57:41+00:00,,🔥🔥420
2024-12-05 03:57:41+00:00,,🔥🔥418
2024-12-05 03:57:41+00:00,,🔥🔥416
2024-12-05 03:57:41+00:00,,🔥🔥414
2024-12-05 03:57:41+00:00,,🔥🔥412
2024-12-05 03:57:40+00:00,,🔥🔥410
2024-12-05 03:57:40+00:00,,🔥🔥408
2024-12-05 03:57:40+00:00,,🔥🔥406
2024-12-05 03:57:40+00:00,,🔥🔥404
2024-12-05 03:57:40+00:00,,🔥🔥402
2024-12-05 03:57:40+00:00,,FIRST TARGET DONE ✅
2024-12-05 03:57:40+00:00,,🔥🔥400
2024-12-05 03:57:40+00:00,,🔥🔥398
2024-12-05 03:57:40+00:00,,🔥🔥396
2024-12-05 03:57:40+00:00,,🔥🔥394
2024-12-05 03:57:40+00:00,,🔥🔥392
2024-12-05 03:57:40+00:00,,🔥🔥390
2024-12-05 03:57:40+00:00,,🔥🔥388
2024-12-05 03:57:40+00:00,,🔥🔥386
2024-12-05 03:57:40+00:00,,🔥🔥384
2024-12-05 03:57:40+00:00,,🔥🔥382
2024-12-05 03:57:39+00:00,,🔥🔥380
2024-12-05 03:51:08+00:00,,"BANKNIFTY  54300 CE BUY ABOVE :- 380


SL :- NEAR BUYING PRICE 

TARGET:- 400/430/450++"
2024-12-05 03:01:03+00:00,,"Now Investment Slot Start on 11:00AM 📛🚀

LOSS RECOVER BOOSTER SLOT

Interested People Can Message on 👎

@DANNY_SIR_OFFICIALL✅️"
2024-12-05 02:41:23+00:00,,"⭐️ Slot time - 11:00AM    ⭐️

⭐️Seat limit - 10                ⭐️

⭐️Seat Available - 07        ⭐️

⭐️Old Seat -  01left           ⭐️

⭐️New Seat - 06left          ⭐️

⭐️Amt Return - 02:00PM ⭐️"
2024-12-05 02:30:48+00:00,,"ＴＯＤＡＹ'Ｓ ＢＥＳＴ ＰＬＡＮ

  🛸USDT🛸🛸SKRILL🛸🛸PAI🛸

        🔰𝐎𝐍𝐋𝐈𝐍𝐄 𝐓𝐑𝐀𝐃𝐈𝐍𝐆🔰

        ⭐️MONEY✤ ✤BOOSTER⭐️

   ≋I≋n≋v≋e≋s≋t≋ ≋M≋e≋t≋h≋o≋d≋

⭐️₹10000/- ᴀɴᴅ ɢᴇᴛ ₹18,999/-     ⭐️

⭐️₹20000/- ᴀɴᴅ ɢᴇᴛ ₹39,999/-     ⭐️

⭐️₹25000/- ᴀɴᴅ ɢᴇᴛ ₹54,999/-     ⭐️

⭐️₹30000/- ᴀɴᴅ ɢᴇᴛ ₹74,999/-    ⭐️

⭐️₹50000/- ᴀɴᴅ ɢᴇᴛ ₹1,49,999/- ⭐️

⭐️₹100000/- ᴀɴᴅ ɢᴇᴛ ₹2,99,999 /⭐️

Commission fees work at 20% of the total profit amount

❤️‍🔥❤️‍🔥ᴍᴏɴᴇʏ ᴡɪʟʟ ʙᴇ ᴄʀᴇᴅɪᴛᴇᴅ ɪɴ ʏᴏᴜʀ ᴀᴄᴄᴏᴜɴᴛ 02:00 PM❤️‍🔥❤️‍🔥

For Any Queries Please Send Message on ⛔️👎  

@DANNY_SIR_OFFICIALL✅️

Help and Support

@DANNY_SIR_OFFICIALL✅️"
2024-12-05 01:57:48+00:00,,Good morning all Traders have a Profitable day ❤️
2024-12-04 12:04:03+00:00,,"PAYMENT IS BEING SENT TO ALL ONE BY ONE 

⭐️🚀 TODAY  PAYMENT🚀 ⭐️

PAYMENT ARE TODAY SLOT IS SUCCESSFUL 

STILL IF SOMEONE HAS NOT RECEIVED THE PAYMENT THEN HE CAN MESSAGE ON 

@DANNY_SIR_OFFICIALL✅️"
2024-12-04 07:28:39+00:00,,BUY ABOVE THE GIVEN LEVEL ONLY
2024-12-04 07:28:39+00:00,,"SENSEX 80600 PE 

BUY ABOVE 425

SL NEAR BUYING PRICE 

TARGET 🎯 450/475/500"
2024-12-04 06:43:47+00:00,,"All Investors Send Your Account Details And Any UPI ID For Withdrawal Your Profit 💸✅🏦

@DANNY_SIR_OFFICIALL✅️

Name
M. No 
Acc No.
Ifsc
Upi 
Phone Pay N.
G Pay N."
2024-12-04 04:44:26+00:00,,🔥🔥550
2024-12-04 04:44:26+00:00,,🔥🔥548
2024-12-04 04:44:26+00:00,,🔥🔥546
2024-12-04 04:44:26+00:00,,🔥🔥545
2024-12-04 04:44:26+00:00,,🔥🔥544
2024-12-04 04:44:26+00:00,,🔥🔥542
2024-12-04 04:44:26+00:00,,🔥🔥540
2024-12-04 04:44:26+00:00,,🔥🔥538
2024-12-04 04:44:26+00:00,,🔥🔥536
2024-12-04 04:44:26+00:00,,🔥🔥534
2024-12-04 04:44:26+00:00,,🔥🔥532
2024-12-04 04:44:26+00:00,,🔥🔥530
2024-12-04 04:44:26+00:00,,🔥🔥528
2024-12-04 04:44:25+00:00,,🔥🔥526
2024-12-04 04:44:25+00:00,,🔥🔥524
2024-12-04 04:44:25+00:00,,🔥🔥522
2024-12-04 04:44:25+00:00,,🔥🔥520
2024-12-04 04:35:42+00:00,,🔥🔥518
2024-12-04 04:35:42+00:00,,🔥🔥516
2024-12-04 04:35:42+00:00,,🔥🔥514
2024-12-04 04:35:42+00:00,,🔥🔥512
2024-12-04 04:35:41+00:00,,🔥🔥510
2024-12-04 04:35:41+00:00,,🔥🔥508
2024-12-04 04:35:41+00:00,,🔥🔥506
2024-12-04 04:35:41+00:00,,🔥🔥505
2024-12-04 04:35:41+00:00,,🔥🔥504
2024-12-04 04:35:41+00:00,,🔥🔥502
2024-12-04 04:35:41+00:00,,🔥🔥500
2024-12-04 04:35:41+00:00,,🔥🔥498
2024-12-04 04:35:41+00:00,,🔥🔥497
